task,split,MAE,RMSE,R2,ROC_AUC,Average_precision,Log_loss,Brier,Balanced_accuracy,F1
regression,test,41.74554049541456,52.01182428869724,0.4894012111684536,,,,,,
classification,test,,,,0.9920634920634921,0.9953388256107694,0.11029075841043341,0.035612529986526434,0.9434523809523809,0.9583333333333334
